Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,52W_High,52W_Low,Volatility_7D
2025-04-21,911.3763392226595,925.7874154699099,908.5438416039183,921.662841796875,7824150,1.1287,,921.66,921.66,
2025-04-22,923.7996428449733,933.53953012096,917.3395054824209,920.3707885742188,11293580,-0.3712,,921.66,920.37,
2025-04-23,922.5076876550555,929.1168691450222,909.3886264850682,926.58251953125,10818710,0.4417,,926.58,920.37,
2025-04-24,956.1003887587165,960.0758581506445,921.61317965157,924.39599609375,18496710,-3.316,,926.58,920.37,
2025-04-25,925.340181044901,928.7193542881375,893.486744714233,905.6119384765625,10893540,-2.132,,926.58,905.61,
2025-04-28,902.4315563508615,906.9039594385034,894.5302987638576,903.7235717773438,9946560,0.1432,,926.58,903.72,
2025-04-29,907.4008931149081,908.9910566150634,890.5051481171497,903.7235717773438,11768180,-0.4053,915.15,926.58,903.72,1.5506
2025-04-30,878.5787472966435,883.3492984982109,850.3528899743571,858.15478515625,39690570,-2.3247,906.08,926.58,858.15,1.4377
2025-05-02,852.2909530058361,886.0327624284678,851.3467668699565,881.4112548828125,18933030,3.4167,900.51,926.58,858.15,2.2549
2025-05-05,882.3057617507878,897.7603872927656,881.1627900057229,887.7223510742188,8930610,0.6139,894.96,926.58,858.15,2.269
2025-05-06,885.6351674724266,891.8965802788989,869.6339274712942,874.3547973632812,12040870,-1.2737,887.81,926.58,858.15,1.9688
2025-05-07,869.633928985005,894.232145833438,866.9504750148244,893.138916015625,11635570,2.7029,886.03,926.58,858.15,2.057
2025-05-08,892.1947079369587,901.8849143356405,872.1185758813663,877.8333129882812,12018090,-1.6097,882.33,926.58,858.15,2.1969
2025-05-09,860.8648380276228,873.9021887339279,856.3863504309473,859.9691162109375,12151340,-0.104,876.08,926.58,858.15,2.1869
2025-05-12,880.6697141980056,898.683161916931,878.3309120482104,897.5386352539062,10638220,1.9155,881.71,926.58,858.15,1.9438
2025-05-13,896.0956196341344,911.9693213122264,894.8017857507431,899.87744140625,13363000,0.422,884.35,926.58,858.15,1.5673
2025-05-14,900.1760232176907,906.6946986887787,896.8918110693861,903.7587890625,7594000,0.398,886.64,926.58,858.15,1.564
2025-05-15,905.5999805101645,917.0947533876722,898.484136910891,914.4573974609375,10385000,0.9781,892.37,926.58,858.15,1.397
2025-05-16,914.4573733738861,924.1607630754637,908.9836663627398,912.3176879882812,6251920,-0.234,895.11,926.58,858.15,1.0934
2025-05-19,912.3176982188571,924.5091366985775,912.3176982188571,921.1253662109375,7162740,0.9654,901.29,926.58,858.15,0.738
2025-05-20,925.3550226969597,926.5492981730328,902.5645339784703,903.5597534179688,8106160,-2.3553,907.52,926.58,858.15,1.3461
2025-05-21,905.6496987494479,923.5636488346017,898.5338553904952,915.3530883789062,7321500,1.0714,910.06,926.58,858.15,1.2079
2025-05-22,915.3530762980172,915.5023835107727,902.7137773116312,909.5310668945312,6159740,-0.636,911.44,926.58,858.15,1.2381
2025-05-23,909.5310964586229,924.2105836173697,906.7444333524313,919.9310913085938,4251690,1.1434,913.75,926.58,858.15,1.3055
2025-05-26,921.0755964137837,929.1866591884672,920.5779866912479,922.5186767578125,5476790,0.1567,914.91,926.58,858.15,1.2528
2025-05-27,922.5684564101424,924.5588953667985,909.9291568867003,912.7157592773438,7150000,-1.068,914.96,926.58,858.15,1.3184
2025-05-28,920.0803973123589,925.0067458230633,909.7300905574115,922.3196411132812,6507400,0.2434,915.13,926.58,858.15,1.2472
2025-05-29,920.5779851422767,923.5138946489728,911.6210101517032,916.0,7081750,-0.4973,916.91,926.58,858.15,0.8473
2025-05-30,917.0,920.3499755859375,912.0999755859375,918.0499877929688,15041740,0.1145,917.3,926.58,858.15,0.7251
2025-06-02,913.0,916.5,904.0,911.8499755859375,6619630,-0.126,917.63,926.58,858.15,0.6841
2025-06-03,910.5999755859375,912.7999877929688,897.0,897.9000244140625,9080270,-1.3947,914.48,926.58,858.15,0.6457
2025-06-04,897.5,903.9500122070312,896.4500122070312,898.7000122070312,5544930,0.1337,911.08,926.58,858.15,0.6426
2025-06-05,898.7000122070312,898.7000122070312,886.9500122070312,893.4000244140625,7853320,-0.5897,908.32,926.58,858.15,0.5783
2025-06-06,894.5,943.4000244140625,887.5999755859375,937.1500244140625,19783860,4.768,910.44,937.15,858.15,2.0204
2025-06-09,955.0,978.7999877929688,940.2999877929688,960.75,23496010,0.6021,916.83,960.75,858.15,1.9865
2025-06-10,970.0,970.0,948.5499877929688,949.75,9044040,-2.0876,921.36,960.75,858.15,2.2188
2025-06-11,949.0,957.0,940.4000244140625,942.5,11860810,-0.6849,925.74,960.75,858.15,2.2418
2025-06-12,944.9000244140625,953.2999877929688,935.5,936.8499755859375,12388330,-0.8519,931.3,960.75,858.15,2.19
2025-06-13,915.0,936.5499877929688,914.7000122070312,933.0999755859375,10182020,1.9781,936.21,960.75,858.15,2.2915
2025-06-16,956.0,956.0,925.0,938.0,7016290,-1.8828,942.59,960.75,858.15,2.4366
2025-06-17,941.5,943.5,917.5,923.0,6110175,-1.9649,940.56,960.75,858.15,1.5174
2025-06-18,927.0,932.5,915.0,919.0,5002923,-0.863,934.6,960.75,858.15,1.4049
2025-06-19,919.0,922.5,894.0,900.5,6585940,-2.0131,927.56,960.75,858.15,1.3948
2025-06-20,897.0,907.5,886.0,905.0,14320241,0.8919,922.21,960.75,858.15,1.5532
2025-06-23,899.0,918.0,890.5,915.5,5870597,1.8354,919.16,960.75,858.15,1.8119
2025-06-24,920.0,936.0,914.5,916.5,11555634,-0.3804,916.79,960.75,858.15,1.5152
2025-06-25,918.0,930.0,916.0,928.0,6623799,1.0893,915.36,960.75,858.15,1.5205
2025-06-26,930.0,953.5,928.5,951.5,11677790,2.3118,919.43,960.75,858.15,1.5524
2025-06-27,950.0,959.5,936.0,947.0,21637194,-0.3158,923.43,960.75,858.15,1.4901
2025-06-30,956.0,956.0,934.0,936.5,6086081,-2.0397,928.57,960.75,858.15,1.4975
2025-07-01,932.5,941.7999877929688,928.0,936.6500244140625,5381327,0.445,933.09,960.75,858.15,1.4868
2025-07-02,933.0,939.8499755859375,914.0,923.0,9394493,-1.0718,934.16,960.75,858.15,1.4308
2025-07-03,922.0,924.5,905.2000122070312,910.1500244140625,7606558,-1.2852,933.26,960.75,858.15,1.5101
2025-07-04,922.0,940.7000122070312,919.0,925.2999877929688,10613046,0.3579,932.87,960.75,858.15,1.4356
2025-07-07,925.0,929.2999877929688,918.0999755859375,924.6500244140625,3383973,-0.0378,929.04,960.75,858.15,0.9276
2025-07-08,918.7999877929688,929.5,918.7999877929688,927.6500244140625,3851432,0.9632,926.27,960.75,858.15,1.0954
2025-07-09,926.5,946.0,924.0,940.5999755859375,5341529,1.5219,926.86,960.75,858.15,1.0213
2025-07-10,943.0,951.7000122070312,942.25,947.6500244140625,5409906,0.4931,928.43,960.75,858.15,1.0239
2025-07-11,938.7000122070312,947.1500244140625,931.5499877929688,933.5,4278038,-0.554,929.93,960.75,858.15,0.9373
2025-07-14,932.0,932.0,911.2999877929688,918.8499755859375,6657978,-1.4109,931.17,960.75,858.15,0.9713
2025-07-15,919.0,930.5999755859375,918.0,928.4000244140625,3892075,1.0229,931.61,960.75,858.15,1.0216
2025-07-16,924.0,927.0,919.4000244140625,921.75,3952491,-0.2435,931.2,960.75,858.15,1.0353
2025-07-17,925.9500122070312,926.25,916.0,923.2999877929688,4583882,-0.2862,930.58,960.75,858.15,1.0002
2025-07-18,920.5,944.9000244140625,920.0,942.0,7893820,2.3357,930.78,960.75,858.15,1.2193
2025-07-21,938.9000244140625,951.0,937.3499755859375,948.4500122070312,4660232,1.0171,930.89,960.75,858.15,1.2563
2025-07-22,955.0,962.0,940.0,952.5499877929688,6237382,-0.2565,933.61,960.75,858.15,1.2285
2025-07-23,954.0,970.9500122070312,953.6500244140625,968.2999877929688,9694991,1.499,940.68,968.3,858.15,1.024
2025-07-24,970.0,970.0,954.0,958.9500122070312,5189112,-1.1392,945.04,968.3,858.15,1.226
2025-07-25,906.4000244140625,924.9000244140625,898.0,913.75,24415481,0.8109,943.9,968.3,858.15,1.1956
2025-07-28,909.25,913.75,879.0,880.5,14011284,-3.1619,937.79,968.3,858.15,1.8521
2025-07-29,875.0499877929688,894.0,873.5,886.5499877929688,11323854,1.3142,929.86,968.3,858.15,1.6846
2025-07-30,890.9500122070312,892.5999755859375,875.0,884.8499755859375,5054496,-0.6847,920.78,968.3,858.15,1.6375
2025-07-31,872.0,887.8499755859375,868.0,881.2000122070312,6999179,1.055,910.59,968.3,858.15,1.7076
2025-08-01,884.7999877929688,895.8499755859375,873.0,875.5999755859375,5300299,-1.0398,897.34,968.3,858.15,1.5909
2025-08-04,874.0,886.75,873.7000122070312,885.2999877929688,3969985,1.2929,886.82,968.3,858.15,1.668
2025-08-05,889.0,893.5999755859375,882.4000244140625,891.9000244140625,4446791,0.3262,883.7,968.3,858.15,1.6356
2025-08-06,888.0,895.5,874.5999755859375,876.6500244140625,4212648,-1.2782,883.15,968.3,858.15,1.1301
2025-08-07,871.0,882.0,867.25,879.0999755859375,5998002,0.93,882.09,968.3,858.15,1.0715
2025-08-08,877.0,888.2999877929688,876.0,877.1500244140625,3736916,0.0171,880.99,968.3,858.15,1.0189
2025-08-11,877.1500244140625,888.2999877929688,872.75,877.7999877929688,5367926,0.0741,880.5,968.3,858.15,0.9442
2025-08-12,877.2000122070312,884.9000244140625,851.5,853.0,8257312,-2.7588,877.27,968.3,853.0,1.3913
2025-08-13,854.5499877929688,864.0,849.0,860.0,10117225,0.6378,873.66,968.3,853.0,1.2928
2025-08-14,860.0,866.9000244140625,855.4500122070312,861.4500122070312,5379250,0.1686,869.31,968.3,853.0,1.2815
2025-08-18,875.0,919.6500244140625,875.0,905.2000122070312,16277779,3.4514,873.39,968.3,853.0,1.8222
