Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,52W_High,52W_Low,Volatility_7D
2025-04-28,1437.6534907325017,1446.7833234291916,1423.1818670852326,1439.4989013671875,5886253,0.1284,,1439.5,1439.5,
2025-04-29,1439.4018262859975,1466.4027986571466,1431.7288778586658,1454.456298828125,8056743,1.0459,,1454.46,1439.5,
2025-04-30,1453.7764926957282,1465.431568419441,1439.984581952398,1456.9815673828125,7704183,0.2205,,1456.98,1439.5,
2025-05-02,1456.5930649551544,1479.4175886205041,1453.1936678135066,1463.586181640625,7402310,0.4801,,1463.59,1439.5,
2025-05-05,1471.4532464465005,1479.2232965927526,1459.6039673980883,1465.2371826171875,4282493,-0.4224,,1465.24,1439.5,
2025-05-06,1462.7120452184295,1472.0360823521305,1456.0103527730441,1468.053955078125,4270530,0.3652,,1468.05,1439.5,
2025-05-07,1456.8844481471906,1475.1441139885928,1453.5821530190785,1464.9459228515625,5691799,0.5533,1458.97,1468.05,1439.5,0.448
2025-05-08,1464.654491996011,1472.910170498641,1458.0499017692832,1467.956787109375,8424409,0.2255,1463.03,1468.05,1439.5,0.4419
2025-05-09,1457.5642989506216,1467.9568126185206,1451.1540310083215,1464.2659912109375,4478653,0.4598,1464.43,1468.05,1439.5,0.33
2025-05-12,1492.8209942326298,1585.0903465111594,1487.96471253376,1580.136962890625,11372857,5.8491,1482.03,1580.14,1439.5,2.1317
2025-05-13,1562.7513505672503,1565.859323230766,1519.627548132014,1523.5125732421875,12846210,-2.5109,1490.59,1580.14,1439.5,2.5324
2025-05-14,1528.75740058924,1549.1537826809642,1524.3867472838704,1546.6285400390625,4870057,1.169,1502.21,1580.14,1439.5,2.4917
2025-05-15,1544.1033749720434,1572.075486394776,1525.843708376521,1566.636474609375,11151167,1.4593,1516.3,1580.14,1439.5,2.4888
2025-05-16,1566.2479103864578,1566.2479103864578,1536.0418626920532,1544.200439453125,4576751,-1.4077,1527.62,1580.14,1439.5,2.6561
2025-05-19,1531.1856318206726,1539.4413107743521,1510.9834523682187,1514.9656982421875,8855798,-1.0593,1534.34,1580.14,1439.5,2.7413
2025-05-20,1524.8723866170074,1537.9843466293191,1513.2173110505078,1515.7425537109375,7143998,-0.5987,1541.69,1580.14,1439.5,2.7771
2025-05-21,1522.832797268108,1525.8436681268927,1507.4869000940212,1523.41552734375,4157309,0.0383,1533.59,1580.14,1439.5,1.4174
2025-05-22,1510.7892156499267,1515.9369216042496,1495.7347425913772,1503.0191650390625,6158990,-0.5143,1530.66,1580.14,1439.5,1.0882
2025-05-23,1505.447258808557,1541.5779455953386,1505.447258808557,1519.8218994140625,5038421,0.9548,1526.83,1580.14,1439.5,1.0478
2025-05-26,1521.5700705826603,1538.275749801986,1517.782147363295,1535.070556640625,3170102,0.8873,1522.32,1580.14,1439.5,0.9142
2025-05-27,1534.4878415209876,1537.4016104009331,1511.6633186280806,1524.969482421875,7775714,-0.6203,1519.57,1580.14,1439.5,0.7865
2025-05-28,1535.556238237006,1542.063608140773,1524.8724187426308,1526.6207275390625,3623370,-0.5819,1521.24,1580.14,1439.5,0.7094
2025-05-29,1543.3262208282474,1562.6542444112208,1531.2826193070812,1540.02392578125,8609500,-0.214,1524.71,1580.14,1439.5,0.675
2025-05-30,1547.3124739974683,1548.297396005105,1531.652190030095,1539.1375732421875,13148092,-0.5283,1526.95,1580.14,1439.5,0.7021
2025-06-02,1536.4782943781508,1536.4782943781508,1515.7949327230604,1530.371826171875,4374509,-0.3974,1530.86,1580.14,1439.5,0.6916
2025-06-03,1535.4933708621093,1543.6682714095227,1512.4461724234918,1519.734619140625,6853403,-1.0263,1530.85,1580.14,1439.5,0.601
2025-06-04,1519.7346010168856,1533.8190332918903,1518.158749909477,1527.8109130859375,4548307,0.5314,1529.81,1580.14,1439.5,0.4817
2025-06-05,1524.5607331925255,1544.0621159555858,1518.3556767230737,1530.8642578125,6948539,0.4135,1530.65,1580.14,1439.5,0.5573
2025-06-06,1531.2581829658582,1545.2441474823067,1519.8331118292815,1540.2210693359375,3960020,0.5853,1532.59,1580.14,1439.5,0.6157
2025-06-09,1554.2069160448225,1564.0561360451065,1547.3124620446238,1549.183837890625,2903202,-0.3232,1533.9,1580.14,1439.5,0.6207
2025-06-10,1560.116482612782,1583.2621501262925,1553.7144894707471,1571.935546875,8591925,0.7576,1538.59,1580.14,1439.5,0.6638
2025-06-11,1566.1244242034918,1609.9534525332194,1566.1244242034918,1606.5062255859375,10597410,2.5785,1549.47,1606.51,1439.5,1.1113
2025-06-12,1592.6188275892266,1603.452969273507,1574.0037782857437,1584.345458984375,10483574,-0.5195,1558.7,1606.51,1439.5,1.0067
2025-06-13,1552.2369998927122,1584.7394243828517,1546.5244044661895,1577.844970703125,6968315,1.6497,1565.84,1606.51,1439.5,1.0844
2025-06-16,1575.875214344727,1610.1505483486199,1573.01891647278,1599.31640625,5591842,1.4875,1575.62,1606.51,1439.5,1.1071
2025-06-17,1596.2630097727385,1622.5604988569514,1591.2399317053334,1615.173583984375,7622083,1.1847,1586.33,1615.17,1439.5,1.103
2025-06-18,1596.5585788351507,1619.9011823893957,1596.5585788351507,1608.2791748046875,5629707,0.7341,1594.77,1615.17,1439.5,0.9587
2025-06-19,1599.4148737815738,1605.4228739879738,1587.2018168292147,1593.997802734375,5147760,-0.3387,1597.92,1615.17,1439.5,1.1068
2025-06-20,1594.58871180959,1606.1122510729595,1584.6410236941556,1598.429931640625,9202821,0.2409,1596.77,1615.17,1439.5,0.8665
2025-06-23,1576.8601291540897,1576.8601291540897,1551.6461498856431,1560.116455078125,7943676,-1.0618,1593.31,1615.17,1439.5,1.0007
2025-06-24,1576.860073737694,1584.739449496533,1552.827953627288,1557.7525634765625,8083992,-1.2117,1590.44,1615.17,1439.5,1.0623
2025-06-25,1566.025955644839,1595.4751470327865,1561.199813873949,1590.550537109375,7813533,1.566,1589.19,1615.17,1439.5,1.079
2025-06-26,1584.5425210067874,1599.5132869304996,1582.3756205245834,1591.6339111328125,6519233,0.4475,1585.82,1615.17,1439.5,0.995
2025-06-27,1594.5886581952298,1605.0288069577266,1578.238977654369,1583.7545166015625,8912268,-0.6794,1582.32,1615.17,1439.5,0.9771
2025-06-30,1590.648993297183,1590.648993297183,1570.064099926214,1577.6480712890625,6294505,-0.8173,1579.98,1615.17,1439.5,1.0089
2025-07-01,1584.7395342639384,1593.308307768125,1576.3676970723639,1582.57275390625,4178937,-0.1367,1577.72,1615.17,1439.5,0.9903
2025-07-02,1593.6038341220215,1624.1364168524187,1579.2239966239758,1586.2169189453125,8653641,-0.4635,1581.45,1615.17,1439.5,0.9349
2025-07-03,1594.0962765801005,1607.786716594206,1590.6490495377586,1594.293212890625,5259695,0.0124,1586.67,1615.17,1439.5,0.818
2025-07-04,1600.4981989662078,1618.6207872342948,1587.9897380569496,1615.96142578125,4411273,0.9662,1590.3,1615.96,1439.5,0.6368
2025-07-07,1615.2721260131761,1619.2118141254034,1598.5284515362102,1602.4681396484375,3294523,-0.7927,1591.85,1615.96,1439.5,0.6329
2025-07-08,1603.4529602070286,1621.378491891406,1597.0509674297891,1613.9915771484375,4590681,0.6572,1596.16,1615.96,1439.5,0.689
2025-07-09,1613.1052929685202,1613.3022292758048,1599.1193284889714,1609.0670166015625,4580828,-0.2503,1600.65,1615.96,1439.5,0.6178
2025-07-10,1614.1886858160015,1614.1886858160015,1582.868118202301,1591.43701171875,5330179,-1.4095,1601.92,1615.96,1439.5,0.8189
2025-07-11,1555.2902357933656,1582.8680505457567,1539.433016356687,1570.85205078125,11391755,1.0006,1599.72,1615.96,1439.5,0.9165
2025-07-14,1567.7988696310574,1567.7988696310574,1536.2813659941348,1546.623046875,9173426,-1.3507,1592.91,1615.96,1439.5,1.0544
2025-07-15,1541.5013602388092,1579.4208563061295,1540.4179701114037,1561.6922607421875,7614807,1.3098,1585.16,1615.96,1439.5,1.1218
2025-07-16,1555.1918577227598,1587.6942841349517,1554.6993967165145,1583.6561279296875,6223491,1.8303,1582.47,1615.96,1439.5,1.2856
2025-07-17,1573.9053927711557,1585.7244570472844,1556.2752645133157,1559.6240234375,7374814,-0.9074,1574.71,1615.96,1439.5,1.339
2025-07-18,1568.0942241264431,1575.1857343566385,1556.176692489401,1562.1846923828125,5161833,-0.3769,1568.01,1615.96,1439.5,1.3442
2025-07-21,1556.1767745731315,1565.041072656143,1543.1758521432762,1560.4119873046875,3682661,0.2722,1563.58,1615.96,1439.5,1.1888
