Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,52W_High,52W_Low,Volatility_7D
2025-04-21,11569.775610133302,11642.983254011015,11463.921314256067,11619.240234375,318493,0.4275,,11619.24,11619.24,
2025-04-22,11643.972929061647,11661.780194373721,11490.632588874345,11608.3583984375,516753,-0.3059,,11619.24,11608.36,
2025-04-23,11672.662268813776,11842.820579707577,11603.41179345002,11779.505859375,493839,0.9153,,11779.51,11608.36,
2025-04-24,11812.152964795801,11911.082219107324,11731.030976260352,11766.6455078125,387863,-0.3853,,11779.51,11608.36,
2025-04-25,11774.559818919366,11917.017944774214,11473.814886559134,11572.744140625,906266,-1.714,,11779.51,11572.74,
2025-04-28,11305.634906759138,11768.623805635869,11168.123246622672,11719.1591796875,457303,3.6577,,11779.51,11572.74,
2025-04-29,11685.523407149945,11812.152851453635,11615.28363726274,11714.212890625,455596,0.2455,11682.84,11779.51,11572.74,1.6576
2025-04-30,11698.38346518826,12193.029700502775,11673.651153422536,12125.7578125,967250,3.6533,11755.2,12125.76,11572.74,2.0634
2025-05-02,12125.758533762846,12590.726022615629,12118.833486056528,12272.173828125,707908,1.2075,11850.03,12272.17,11572.74,1.9983
2025-05-05,12356.263806546245,12356.263806546245,12229.634361611264,12324.6064453125,270014,-0.2562,11927.9,12324.61,11572.74,2.0627
2025-05-06,12304.820233636037,12464.096327671687,12238.53763549698,12446.2890625,414921,1.1497,12024.99,12446.29,11572.74,1.9814
2025-05-07,12222.709100947171,12533.346952642632,12222.709100947171,12497.732421875,303619,2.2501,12157.13,12497.73,11572.74,1.5512
2025-05-08,12425.51363783086,12462.11745985313,12197.976365800518,12259.3125,485326,-1.3376,12234.3,12497.73,11572.74,1.6472
2025-05-09,12005.064371412627,12227.655181760205,11985.278521603954,12118.8330078125,278112,0.9477,12292.1,12497.73,11572.74,1.6155
2025-05-12,12292.948489269578,12494.76415736961,12292.948489269578,12480.9140625,185165,1.5291,12342.84,12497.73,11572.74,1.1991
2025-05-13,12465.085144483057,12564.014391661492,12296.905424279714,12348.3486328125,378269,-0.9365,12353.72,12497.73,11572.74,1.3387
2025-05-14,12351.316825547554,12581.821977357933,12278.109180766574,12534.3359375,306050,1.4818,12383.68,12534.34,11572.74,1.341
2025-05-15,12465.085447710779,12883.556173455354,12413.642237926575,12813.31640625,561496,2.7937,12436.11,12813.32,11572.74,1.5545
2025-05-16,12811.338281400298,12945.882065668286,12773.745165207773,12855.8564453125,425275,0.3475,12487.27,12855.86,11572.74,1.4547
2025-05-19,12850.909214347235,12906.309592792459,12791.551666013069,12849.919921875,244277,-0.0077,12571.65,12855.86,11572.74,1.2125
2025-05-20,12865.749061223469,12870.695523761424,12474.978520724946,12502.6787109375,361111,-2.822,12626.48,12855.86,11572.74,1.8478
2025-05-21,12539.282354293624,12670.858255920532,12459.149662325357,12479.9248046875,209104,-0.4734,12626.34,12855.86,11572.74,1.7872
2025-05-22,12475.96767158309,12475.96767158309,12262.280492369551,12311.7451171875,434848,-1.3163,12621.11,12855.86,11572.74,1.8276
2025-05-23,12316.691302265268,12361.209463598756,12289.980405465174,12319.6591796875,169465,0.0241,12590.44,12855.86,11572.74,1.71
2025-05-26,12321.637897606624,12404.73846632593,12258.323178582392,12288.001953125,214703,-0.273,12515.4,12855.86,11572.74,1.0952
2025-05-27,12288.002195967632,12345.381161217301,12158.404877903728,12281.0771484375,344679,-0.0564,12433.29,12855.86,11572.74,1.0436
2025-05-28,12281.07709783143,12282.066390331658,12173.24421530657,12198.9658203125,178181,-0.6686,12340.29,12855.86,11572.74,0.9991
2025-05-29,12207.869290671402,12294.927029535185,12134.661646626857,12259.3125,191097,0.4214,12305.53,12855.86,11572.74,0.5592
2025-05-30,12259.313081545783,12356.263749879505,12119.822834249304,12187.0947265625,351353,-0.5891,12263.69,12855.86,11572.74,0.5656
2025-06-02,12030.78653623055,12187.094756995653,12002.097052672398,12158.4052734375,264972,1.0608,12241.79,12855.86,11572.74,0.602
2025-06-03,12141.587063429539,12217.762587252897,11930.867757268821,11998.1396484375,369114,-1.1815,12195.86,12855.86,11572.74,0.7455
2025-06-04,11998.13941102113,12113.886633241567,11998.13941102113,12032.7646484375,205846,0.2886,12159.39,12855.86,11572.74,0.7642
2025-06-05,12069.368779507877,12125.758453313774,11887.338955292347,11996.1611328125,319783,-0.6066,12118.69,12855.86,11572.74,0.7865
2025-06-06,12009.021990209612,12400.781831063308,11970.439581640687,12328.5634765625,456129,2.6608,12137.21,12855.86,11572.74,1.2893
2025-06-09,12371.102841760554,12524.443180862743,12332.520433857422,12501.689453125,323443,1.0556,12171.83,12855.86,11572.74,1.3217
2025-06-10,12524.44333597494,12607.543907872403,12327.574123979757,12385.9423828125,325292,-1.1058,12200.24,12855.86,11572.74,1.3974
